"Штрих-код";"Кількість";"Ціна_роздрібна";"Ціна_опту";"Назва_позиції"
"4825020801668";26;550;380;"2221  Контейнер для холодильника дренаж та клапа 8 (4 секцї) PET PET пластик код. 0166 (арт. )"
"4825020800692";22;80;43;"Вазон для квітів PET (15*18) PET пластик код. 0069 (арт. X10-XQ-891 )"
"4823547503218";1679;75;41;"Ватні палички бавовна-пластик код. 0321 (арт. 35475-0321)"
"4823547503225";1036;55;23;"Ватні палички вбавовна-пластик код. 0322 (арт. 35475-0322)"
"4825020800708";4;200;116;"Відро для сміття PET (21*27.5) PET пластик код. 0070 (арт. X10-XQ-816 )"
"4823591602882";1610;15;6;"Гачок пластик код. 0288 (арт. 35916-xy-0101)"
"4825020800210";190;150;100;"Герметична ємність  0.5 л. PET (9.5*11) PET пластик код. 0021 (арт. Q04-0210 )"
"4825020800173";306;160;110;"Герметична ємність 0.5 л. PET (12*8*11.5) PET пластик код. 0017 (арт. Q04-0320)"
"4825020800203";176;180;120;"Герметична ємність 0.8 л. PET (10*16) PET пластик код. 0020 (арт. Q04-0211)"
"4825020800166";222;180;130;"Герметична ємність 0.8 л. PET (11.5*8*15.5) PET пластик код. 0016 (арт. Q04-0321)"
"4825020800135";133;220;178;"Герметична ємність 1,8 л . PET (10.5*31) PET пластик код. 0013 (арт. Q04-0221)"
"4825020800197";148;200;160;"Герметична ємність 1.2 л. PET (10*21) PET пластик код. 0019 (арт. Q04-0212)"
"4825020800180";146;260;200;"Герметична ємність 1.9 л. PET (10*31) PET пластик код. 0018 (арт. Q04-0213)"
"4825020800142";167;280;200;"Герметична ємність 1.9 л. PET (11.5*8*30.5) PET пластик код. 0014 (арт. Q04-0323)"
"4825020800159";116;210;150;"Герметична ємність 1.9 л. PET (12*8*20.5) PET пластик код. 0015 (арт. Q04-0322 )"
"4825020800128";99;270;218;"Герметична ємність 2.8 л. PET (12.5*30.5) PET пластик код. 0012 (арт. Q04-0225 )"
"4825020800111";110;530;437;"Гермитична ємність набір 4 шт. (0.4L+0.75*2L+1.1L) PET  PET пластик код. 0011 (арт. Q04-0227-1 )"
"4823511403179";54;360;235;"Глек скло  код. 0317 (арт. 35114-)"
"4823511403209";3;400;251;"Глек скло  код. 0320 (арт. 35114-LCWJ4412)"
